creditcardid,creditcardnumber,creditcardexpirationdate,userid
34909,106302872828563,2025-02-19,25341
58990,1041975274892749,2025-10-08,74000
98152,1021191148839189,2024-02-12,49421
9676,100996316584302,2024-09-15,72697
68038,09827506318064,2023-10-10,7210
60305,09583577109830,2022-06-18,83209
88586,09545154467583,2023-09-13,82908
17780,09264548187361493,2022-09-08,98630
1686,09175985613968,2025-01-04,67463
84631,08676501513780,2022-11-02,10295
44172,086751197966354,2025-05-10,29412
57355,08528268718724,2024-05-25,50524
15247,0829500769014123,2025-11-13,28609
12570,071704545939238,2025-05-23,7708
58755,070614510523561,2024-12-10,84337
57996,0701061223516159,2024-06-24,63624
27401,06943018131278103,2024-09-06,83209
32346,06836637029336028,2023-11-11,49421
89733,067692035887272,2025-09-06,16548
80858,06716260984175888,2023-12-20,3586
76530,0646427700352022,2022-04-02,96628
20085,06109706811926505,2022-01-02,43710
38506,05823467314602,2023-04-21,49231
72686,0560930732624001,2024-07-22,4030
56120,0474389569142993,2024-03-30,67463
52329,044415142933073,2024-03-07,50986
27822,03630557896494538,2022-03-31,10789
96613,0350453087073299,2024-08-14,98744
31722,03096438549980,2022-01-02,16714
78323,03044202871562862,2025-01-24,11622
21150,02843612496805,2025-10-01,96958
94969,02691611734578,2025-03-07,62249
46485,0256483255921199,2022-04-28,84678
87186,0234621966244756,2022-11-21,76189
10847,0219286826039677,2024-01-25,10295
67034,0215779452965114,2024-05-05,80753
29956,01749776662050,2024-11-12,74369
19719,01635554310301,2023-06-04,72897
82503,0133400925864130,2022-03-16,60810
72038,01214460278731,2025-09-06,37241
2107,01201085816443,2024-07-10,85388
51363,01135977074238,2025-04-07,80753
54558,00454423955692126,2022-08-13,4030
68534,00252783226491313,2023-08-05,96958
405,0012287871028610,2023-05-14,96628
